Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
190,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.538593399,0.44549439,37.4186977,7013.002812
191,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.568062152,0.479607332,39.47432437,6836.600814
192,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.553032347,0.471189418,38.45252155,6540.105445
193,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.50831235,0.426746554,35.11807556,6188.477141
194,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.465804378,0.407609786,32.6584962,5200.578495
195,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.607679197,0.502740901,42.23972427,7715.810883
196,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.630637776,0.51715975,43.97470322,8357.067222
197,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.593049003,0.493757519,41.22334958,7399.875886
198,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.601404506,0.498282106,41.72079694,7517.440772
199,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.556301788,0.476149113,39.1606042,6717.446272
200,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,34,0.56,0.490320807,0.441301913,35.09473308,5601.205307
201,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.46274257,0.426679269,33.60574758,5225.163069
202,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.417072864,0.407223705,31.36831014,4393.527431
203,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.606599706,0.500292047,41.93725753,7907.240674
204,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.617868887,0.510839162,43.3126693,8212.792891
205,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.535894701,0.442865602,36.92483932,6846.006857
206,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.544644313,0.44959908,37.77154371,7028.673498
207,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.586760249,0.490357436,40.7940564,7400.775379
208,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.574708327,0.484698098,40.11817697,7048.870716
209,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.533196209,0.443192487,36.95787336,6779.981658
210,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.468921469,0.411271911,33.22890035,5548.122012
211,12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.585434474,0.488638858,40.56322545,7380.633803
212,12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.610321439,0.504532158,42.48753914,7793.442058
213,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.570329618,0.480779062,39.67566796,7161.961901
214,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.582954458,0.488176027,40.55976952,7243.226111
215,12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.535877448,0.462697311,37.55556802,6368.849821
216,12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,34,0.56,0.451083154,0.424728104,33.32452765,4975.885376
217,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.437609121,0.416280584,32.41787171,4700.576149
218,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.385021951,0.393118491,29.80324762,3804.610168
219,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.575902218,0.480382567,39.49160012,7159.336664
220,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.608344644,0.50146507,42.11266981,7933.302352
221,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.535863236,0.446575791,37.02177209,6539.11085
222,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.52698696,0.438669933,36.34050331,6696.23571
223,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.5561803,0.472270742,38.62163873,6638.656487
224,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.541142146,0.463558518,37.54210856,6361.489513
225,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520592483,0.435291285,35.72822346,6320.238926
226,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.439423956,0.393781726,31.39456852,4952.9856
227,12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.597060641,0.496788174,41.57478166,7541.667404
228,12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.619453149,0.50952792,43.07173864,8109.230504
229,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.579179402,0.484349504,40.0282126,7163.9441
230,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.595712725,0.494895461,41.3159122,7626.617335
231,12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.550116044,0.471871207,38.6454264,6626.851498
232,12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,34,0.56,0.480963646,0.437059543,34.66057255,5291.89688
233,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.463097152,0.428118259,33.79678871,5323.300337
234,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.404446048,0.401091418,30.66522059,4100.759169
235,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.589306067,0.488615886,40.54647951,7560.205645
236,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.607690073,0.501568683,42.1419027,7895.020796
237,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.534126224,0.441974474,36.7513957,6731.712208
238,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.527399614,0.437354261,36.3854328,6677.624427
239,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.576469662,0.48363057,39.91734321,7162.433638
240,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.561296524,0.475425424,38.93451187,6735.24371
241,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.538371386,0.446570029,36.98857322,6771.722906
242,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.46555863,0.409033913,32.9240208,5322.840434
243,12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,16,0.26,0.608930974,0.502062222,42.16770498,7761.15796
244,12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.619006054,0.511116064,43.2784975,8002.997103
245,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.595052932,0.494864674,41.36494454,7483.736315
246,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.612478041,0.508336663,43.00334146,7888.414929
247,12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.567958657,0.477778535,39.23966787,6862.908392
248,12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.506104448,0.449306369,36.04045222,5828.732121
249,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.477961423,0.435764199,34.62976419,5454.633853
250,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.437188153,0.416107584,32.29905902,4745.460284
251,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.603493403,0.497864974,41.61500537,7713.479598
252,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.608455265,0.502418156,42.18519611,7858.685578
253,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.55235942,0.455179564,38.04275581,7103.508943
254,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.546275069,0.449239458,37.44734554,7136.984453
255,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.574796304,0.482118713,39.77346165,7172.435009
256,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.578556842,0.486632377,40.36001849,7175.068982
257,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.521906846,0.432226587,35.77113923,6621.250814
258,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.47960301,0.417365455,33.97877886,5830.488555
259,12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.575237945,0.481173502,39.64669117,7207.420303
260,12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.601353783,0.496997462,41.52614508,7732.225218
261,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.565239387,0.474798231,38.8469565,6860.396428
262,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.586303901,0.490981116,40.92210139,7570.608619
263,12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.532627825,0.460285638,37.19103587,6255.890642
264,12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.464260194,0.428903862,33.74349354,5124.854901
265,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.454937519,0.423865656,33.26713681,5151.386473
266,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.396762494,0.396927831,30.27510191,4042.842643
267,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.578889093,0.482807121,39.85898134,7127.164572
268,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.596753394,0.495164177,41.33629767,7690.174905
269,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.527308548,0.436376172,36.09379556,6589.278977
270,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.529511192,0.436996925,36.2629303,6830.966046
271,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.560709036,0.475184735,38.99704008,6887.466493
272,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.543972464,0.466640196,37.96058614,6451.100519
273,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.505120461,0.425220363,34.79781929,6187.951881
274,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.464368945,0.412661872,33.12546719,5367.618255
275,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.600340952,0.496358614,41.48453443,7554.4683
276,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.611993912,0.506604757,42.82737534,8013.626308
277,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.579981861,0.48518887,40.17821466,7231.027782
278,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.592156153,0.489992416,40.64163782,7297.732097
279,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.547283352,0.466492143,37.87903588,6583.457887
280,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.483249032,0.438630573,34.89995717,5330.369306
281,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.473142233,0.430905502,34.01445364,5446.697471
282,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.424574228,0.408610007,31.44274436,4568.672172
283,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.583378727,0.484791782,40.03764422,7425.751937
284,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.59248944,0.491124144,40.81318096,7588.360961
285,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.536128074,0.445071322,36.9753139,6771.674965
286,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.538048419,0.445134287,36.96933887,6941.824131
287,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.569713565,0.480106144,39.58916872,6942.396304
288,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.557250655,0.472521274,38.6254357,6708.241295
289,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.511750776,0.427683045,35.17991165,6461.670875
290,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.465199368,0.409384028,32.88039453,5313.378277
291,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.611039732,0.501877874,42.13008169,7897.9319
292,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,1,0.1,0.62677511,0.513171554,43.43220995,8440.960969
293,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.595065655,0.491901278,40.86547798,7529.175053
294,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.603371908,0.500653697,42.13153821,7675.963523
295,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.566645314,0.478935976,39.38136072,6901.658937
296,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,34,0.56,0.506742719,0.449545727,36.09829713,5811.211473
297,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.49739138,0.443754909,35.50118221,5711.85174
298,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.442869304,0.416802269,32.34445707,4740.015047
299,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.600086778,0.496548991,41.54582537,7835.767792
300,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.603544257,0.50020424,42.02254143,7878.817681
301,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.531891546,0.440785841,36.46634183,6770.23332
302,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.524577301,0.434863988,36.04067528,6614.219308
303,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.581744319,0.485989695,40.23598632,7206.901956
304,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.582482579,0.487075422,40.33534199,7234.255248
305,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.530291604,0.440241496,36.54941505,6482.705721
306,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.476178181,0.413631524,33.49849454,5596.226357
307,12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.588987285,0.48881217,40.55501923,7381.973331
308,12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.603545036,0.497978979,41.6216451,7738.881709
309,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.56581933,0.476002331,39.04659266,6806.492688
310,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.585313688,0.48648622,40.22738685,7284.814779
311,12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,24,0.39,0.544066693,0.464561582,37.67828481,6514.638993
312,12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,34,0.56,0.467741485,0.429230513,33.75309045,5136.93247
313,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.455384537,0.424311942,33.31223192,5192.883148
314,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.408487848,0.400980125,30.60468328,4281.52619
315,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.583697575,0.48651762,40.2744187,7417.81497
316,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.593029845,0.491414051,40.82972076,7639.547887
317,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.527724447,0.437516086,36.24969463,6920.084268
318,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.520986614,0.433668483,35.6972028,6598.854044
319,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.556715923,0.471125278,38.45140921,6671.072643
320,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.555726691,0.470719472,38.38301202,6645.569975
321,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.518556034,0.433841405,35.48700839,6500.097782
322,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.453234697,0.401236607,32.21562101,5345.991061
323,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,16,0.26,0.592798225,0.491169185,40.84238532,7440.712007
324,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,1,0.1,0.610993712,0.503636289,42.40915749,7963.939307
325,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.587319779,0.488005014,40.4613306,7369.685585
326,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.599953146,0.497740882,41.66192928,7532.829529
327,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,24,0.39,0.555210358,0.470846733,38.42153319,6554.976861
328,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,34,0.56,0.494584864,0.44252903,35.28592597,5729.715055
329,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.476054066,0.433407697,34.33849206,5399.861131
330,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.429210588,0.409976946,31.57410804,4580.392997
331,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.586602539,0.488568502,40.63849594,7428.834423
332,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.58492102,0.486889324,40.33593654,7479.93417
333,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.529163709,0.438095887,36.25083805,6749.518191
334,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.527742687,0.438514042,36.31114278,6869.777604
335,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.569935673,0.476836137,39.06314597,6929.554801
336,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.565976484,0.478162473,39.33777176,6852.979712
337,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.514537018,0.430253104,35.41408191,6335.296388
338,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.460960916,0.404358198,32.5102476,5305.743635
339,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,16,0.26,0.612633396,0.502786993,42.17176453,7914.171177
340,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.620391949,0.511834352,43.37204316,8254.05731
341,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.601161249,0.495799217,41.36318078,7558.005885
342,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.610860604,0.503371107,42.33928002,7861.465383
343,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,24,0.39,0.566350244,0.477438541,39.22848885,6799.729175
344,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.500189951,0.444658692,35.51753863,5729.569636
345,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.488014406,0.437317312,34.78105469,5675.721494
346,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.450593944,0.420598245,32.81196654,4813.452846
347,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.58337988,0.484307576,39.95364888,7443.624456
348,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.596036127,0.492748552,40.99850428,7706.881369
349,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.528518697,0.437693166,36.31013579,6757.073662
350,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.523070143,0.435584965,35.90984596,6620.098774
351,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.578887446,0.482859526,39.77772061,7183.10038
352,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.57272491,0.481279313,39.69681287,7019.694384
353,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.528886613,0.439104197,36.2542016,6608.90751
354,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.480386371,0.41390409,33.33119375,5535.05665
355,12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.621376432,0.513721618,43.63998621,8134.726547
356,12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.641480254,0.528322189,45.47838117,8711.208961
357,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.595306377,0.498055536,41.76622653,7406.902484
358,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.614621141,0.513728593,43.7550339,8090.417127
359,12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.566076664,0.481349777,39.7419306,6848.626223
360,12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.494906594,0.444967734,35.62231346,5527.425034
361,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.4745752,0.436042539,34.68201491,5296.611091
362,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.424394344,0.412450296,31.88184658,4480.07
363,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.610329712,0.506002075,42.73173641,7920.061748
364,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.635315515,0.524860365,45.07802445,8652.043342
365,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.563746659,0.46618285,39.76356662,7222.004621
366,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.553185654,0.455065287,38.61011529,7290.10652
367,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.598814008,0.498585597,41.73066669,7510.790568
368,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.587276072,0.494588902,41.40492886,7174.664896
369,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.55195445,0.455560504,38.4173944,7080.040043
370,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.483872542,0.417947008,34.20739786,5665.219597
371,12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.626397463,0.516147572,43.93700206,8298.206974
372,12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.645640994,0.532222816,45.95298911,8671.716806
373,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.612390179,0.510402544,43.33471751,7714.323102
374,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.627857666,0.520974303,44.62396561,8211.0795
375,12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.584016198,0.492641907,41.05919357,7270.318318
376,12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.509989204,0.45386752,36.68541263,5747.56017
377,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.498657334,0.448608762,36.11395452,5777.3754
378,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.456503309,0.425245072,33.3039002,5061.72061
379,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.612974151,0.508018854,42.93452098,7829.472937
380,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.638787728,0.524904141,44.99434918,8634.775829
